"","x"
"color_B_kurtosis",35.5190866384
"color_B_mean",0.695665673316
"color_B_median",0.734736656392
"color_B_quantile025",0.500581919949
"color_B_quantile250",0.610666796612
"color_B_quantile750",0.795044112824
"color_B_quantile975",0.931530305006
"color_B_skewness",3.98634807657
"color_B_std",0.189406297564
"color_contrast_1",1.16652226049
"color_contrast_4",2.80111059368
"color_contrast_9",3.44096067682
"color_correlation_1",0.974672236172
"color_correlation_4",0.936800155879
"color_correlation_9",0.894475532483
"color_energy_1",0.708317850909
"color_energy_4",0.664323898923
"color_energy_9",0.645561112956
"color_entropy",7.65867783164
"color_G_kurtosis",19.223845472
"color_G_mean",0.707098822632
"color_G_median",0.74552366029
"color_G_quantile025",0.53944919584
"color_G_quantile250",0.63575920871
"color_G_quantile750",0.802297528655
"color_G_quantile975",0.951127852058
"color_G_skewness",3.86268277573
"color_G_std",0.212993798741
"color_gray_kurtosis",22.01214571
"color_gray_mean",0.7024466754
"color_gray_median",0.741725494779
"color_gray_quantile025",0.531488410024
"color_gray_quantile250",0.633624951849
"color_gray_quantile750",0.798810095222
"color_gray_quantile975",0.949205170448
"color_gray_skewness",3.83747929466
"color_gray_std",0.212484417549
"color_H_kurtosis",158.994128591
"color_H_mean",0.713542442092
"color_H_median",0.837428653173
"color_H_quantile025",0.603178700771
"color_H_quantile250",0.679248994216
"color_H_quantile750",0.948818902394
"color_H_quantile975",0.996296724402
"color_H_skewness",10.5104872489
"color_H_std",0.435446352719
"color_homogeneity_1",0.971444698697
"color_homogeneity_4",0.942403984885
"color_homogeneity_9",0.928217801991
"color_R_kurtosis",17.3745955711
"color_R_mean",0.695897329298
"color_R_median",0.736939071162
"color_R_quantile025",0.527606930997
"color_R_quantile250",0.659279744288
"color_R_quantile750",0.793609370553
"color_R_quantile975",0.954234062191
"color_R_skewness",3.52605990818
"color_R_std",0.225333983194
"color_S_kurtosis",77.9993775258
"color_S_mean",0.405934961656
"color_S_median",0.452136532556
"color_S_quantile025",0.143936860923
"color_S_quantile250",0.305389691652
"color_S_quantile750",0.562155851948
"color_S_quantile975",0.73493359895
"color_S_skewness",4.29869146644
"color_S_std",0.199259246488
"color_V_kurtosis",20.8621045899
"color_V_mean",0.713602129272
"color_V_median",0.747938213597
"color_V_quantile025",0.539554949282
"color_V_quantile250",0.659313024804
"color_V_quantile750",0.805999834726
"color_V_quantile975",0.957065852656
"color_V_skewness",3.99088619433
"color_V_std",0.207008442292
"DARK_FEAT_NUM",130
"FEAT_NUM",359
"L1_100",0.999913182057
"L1_110",0.22505
"L1_150",0.99990819252
"L1_160",0.698529411765
"L1_200",0.998001191501
"L1_210",0.25
"L1_240",0.742647058824
"L1_250",0.999904200891
"L1_255",0.02734375
"LIGHT_FEAT_NUM",328
"obj_Area_kurtosis",323.622231317
"obj_Area_mean",100200.1
"obj_Area_median",4001
"obj_Area_quantile025",81
"obj_Area_quantile250",229
"obj_Area_quantile750",297992
"obj_Area_quantile975",959918
"obj_Area_skewness",17.6068859267
"obj_Area_std",288374.454348
"obj_BoundingBox_kurtosis",7.49954650463
"obj_BoundingBox_mean",430.485294118
"obj_BoundingBox_median",289.5
"obj_BoundingBox_quantile025",4.9
"obj_BoundingBox_quantile250",22.5
"obj_BoundingBox_quantile750",858.5
"obj_BoundingBox_quantile975",1001
"obj_BoundingBox_skewness",2.07655966687
"obj_BoundingBox_std",417.975534376
"obj_Centroid_kurtosis",4.79860434061
"obj_Centroid_mean",771.226077385
"obj_Centroid_median",860.75465661
"obj_Centroid_quantile025",258.264963131
"obj_Centroid_quantile250",745.131868132
"obj_Centroid_quantile750",997.546261617
"obj_Centroid_quantile975",1000.44444444
"obj_Centroid_skewness",1.28782323305
"obj_Centroid_std",417.944631586
"obj_ConvexArea_kurtosis",325.127878613
"obj_ConvexArea_mean",155372.1
"obj_ConvexArea_median",4692.5
"obj_ConvexArea_quantile025",112
"obj_ConvexArea_quantile250",323
"obj_ConvexArea_quantile750",349143
"obj_ConvexArea_quantile975",1002001
"obj_ConvexArea_skewness",17.6584762896
"obj_ConvexArea_std",300630.507103
"obj_Eccentricity_kurtosis",18.6910968481
"obj_Eccentricity_mean",0.930545256301
"obj_Eccentricity_median",0.974520091602
"obj_Eccentricity_quantile025",0.669601036914
"obj_Eccentricity_quantile250",0.899329810872
"obj_Eccentricity_quantile750",0.994895060863
"obj_Eccentricity_quantile975",0.999915096896
"obj_Eccentricity_skewness",-0.280186603378
"obj_Eccentricity_std",0.24128244836
"obj_EquivDiameter_kurtosis",160.491583982
"obj_EquivDiameter_mean",227.421561887
"obj_EquivDiameter_median",59.1937295699
"obj_EquivDiameter_quantile025",10.1554125039
"obj_EquivDiameter_quantile250",16.5934902018
"obj_EquivDiameter_quantile750",615.96688094
"obj_EquivDiameter_quantile975",1105.53405977
"obj_EquivDiameter_skewness",11.3917973459
"obj_EquivDiameter_std",326.980600006
"obj_EulerNumber_kurtosis",356.959880521
"obj_EulerNumber_mean",0.976470588235
"obj_EulerNumber_median",1
"obj_EulerNumber_quantile025",1
"obj_EulerNumber_quantile250",1
"obj_EulerNumber_quantile750",1
"obj_EulerNumber_quantile975",1
"obj_EulerNumber_skewness",-2.02312703989
"obj_EulerNumber_std",22.2318610318
"obj_Extent_kurtosis",6.12194758716
"obj_Extent_mean",0.634747703283
"obj_Extent_median",0.662721893491
"obj_Extent_quantile025",0.40759569378
"obj_Extent_quantile250",0.563049853372
"obj_Extent_quantile750",0.790178571429
"obj_Extent_quantile975",0.976701807125
"obj_Extent_skewness",0.805340409687
"obj_Extent_std",0.227878026296
"obj_FilledArea_kurtosis",331.458439068
"obj_FilledArea_mean",103179.1
"obj_FilledArea_median",4001
"obj_FilledArea_quantile025",81
"obj_FilledArea_quantile250",229
"obj_FilledArea_quantile750",298127
"obj_FilledArea_quantile975",959918
"obj_FilledArea_skewness",17.8977961797
"obj_FilledArea_std",288361.249634
"obj_MajorAxisLength_kurtosis",117.356951369
"obj_MajorAxisLength_mean",394.168210363
"obj_MajorAxisLength_median",95.7395413929
"obj_MajorAxisLength_quantile025",13.9761505872
"obj_MajorAxisLength_quantile250",26.3538616332
"obj_MajorAxisLength_quantile750",763.286182521
"obj_MajorAxisLength_quantile975",1337.42631705
"obj_MajorAxisLength_skewness",10.4909121969
"obj_MajorAxisLength_std",532.232257006
"obj_MinorAxisLength_kurtosis",243.835549665
"obj_MinorAxisLength_mean",211.175694879
"obj_MinorAxisLength_median",40.1689750952
"obj_MinorAxisLength_quantile025",5.92099671951
"obj_MinorAxisLength_quantile250",10.6238980137
"obj_MinorAxisLength_quantile750",482.066313229
"obj_MinorAxisLength_quantile975",1153.22448254
"obj_MinorAxisLength_skewness",14.5542621397
"obj_MinorAxisLength_std",341.357770972
"obj_Orientation_kurtosis",16.6093565771
"obj_Orientation_mean",33.3353815489
"obj_Orientation_median",72.7745983856
"obj_Orientation_quantile025",-48.8998502891
"obj_Orientation_quantile250",10.0589984141
